one,one_BS,one_PC,two,two_BS,two_PC,three,three_BS,three_PC,four,four_BS,four_PC,five,five_BS,five_PC,six,six_BS,six_PC,seven,seven_BS,seven_PC
0.0813,-9.119,-9.7312,0.0813,-9.525,-9.4875,0.0841,-9.283,-9.4091,0.7869,-9.3386,-17.2818,1.3581,-20.681,-24.0693,1.3637,-20.1963,-17.1066,1.3637,-29.6656,-18.9602
0.1317,-9.4031,-10.6958,0.1317,-9.3372,-9.559,0.1345,-9.349,-9.613,0.8373,-9.885,-16.3065,1.4085,-21.1651,-24.2741,1.4141,-20.4305,-22.9087,1.4141,-26.9845,-18.3841
0.1821,-8.8889,-10.9027,0.1821,-9.0854,-9.5774,0.1849,-8.8089,-9.4212,0.8877,-10.1542,-16.8539,1.4561,-21.0779,-24.507,1.4673,-20.2666,-26.6623,1.4141,-27.5463,-18.3043
0.2325,-9.1159,-11.9405,0.2325,-8.5249,-9.4661,0.2353,-8.1486,-9.07,0.9381,-10.4705,-19.3058,1.5569,-21.0948,-25.4828,1.5121,-20.3448,-22.3514,1.4645,-25.5309,-19.4439
0.2829,-8.5264,-13.2524,0.2857,-8.0481,-9.7533,0.2885,-8.0734,-9.1344,0.9885,-11.1425,-20.3486,1.6577,-21.7152,-27.7706,1.5653,-20.8151,-23.6447,1.5121,-26.1576,-24.4837
0.3333,-8.5779,-15.3035,0.3361,-7.9613,-10.3849,0.3389,-7.6451,-9.2161,1.0417,-11.6347,-19.1296,1.7585,-23.2239,-28.5034,1.6157,-21.2662,-29.6189,1.5653,-27.6208,-25.0904
0.3837,-8.4621,-17.4116,0.3837,-7.148,-10.6039,0.3865,-7.1696,-9.3153,1.0921,-11.9241,-18.9366,1.8565,-25.7347,-34.5897,1.6661,-21.2423,-28.8055,1.6157,-29.0663,-19.8753
0.4369,-8.0582,-19.6445,0.4369,-6.9328,-11.7866,0.4397,-6.3504,-9.2106,1.1425,-12.162,-20.3685,,,,1.7165,-20.4831,-29.0699,1.6661,-30.5728,-17.9986
0.4873,-8.157,-20.9389,0.4873,-6.2307,-12.7819,0.4901,-6.3602,-9.9719,1.1929,-12.9891,-21.6751,,,,1.7641,-20.8046,-26.7756,1.7165,-29.6946,-18.8528
0.5377,-8.051,-20.989,0.5377,-6.3014,-14.558,0.5405,-6.3102,-11.2229,1.2433,-13.2285,-20.7071,,,,1.8145,-21.4149,-30.4384,1.7641,-28.8199,-22.144
0.5881,-8.9934,-21.823,0.5881,-6.152,-17.0392,0.5909,-6.5917,-13.4008,1.2937,-13.2779,-21.1879,,,,1.9153,-22.3375,-28.3244,1.8145,-28.7778,-23.8925
0.6385,-9.9304,-22.7857,0.6413,-7.0346,-19.8964,0.6413,-7.3447,-17.1922,1.3441,-13.7291,-25.6446,,,,1.9657,-23.7525,-28.7635,1.8649,-29.0034,-23.1314
0.6917,-12.3225,-25.5711,0.6917,-8.0131,-21.3243,0.6945,-8.1247,-22.3333,1.3945,-13.4912,-29.0614,,,,2.0161,-25.5942,-32.7507,1.9153,-30.1098,-27.0305
0.7449,-14.1586,-24.3119,0.7449,-8.7357,-20.9129,0.7477,-9.6246,-23.9602,1.4477,-14.1987,-29.1208,,,,2.0665,-26.3849,-33.0199,1.9657,-31.5163,-29.845
0.7953,-14.4853,-22.1627,0.7953,-9.2378,-20.9915,0.7953,-9.4603,-23.4036,1.4981,-14.5447,-28.2238,,,,2.1141,-27.0795,-32.2565,2.0161,-31.4682,-27.4705
0.8457,-15.1458,-22.5263,0.8457,-9.9078,-22.2933,0.8485,-10.2868,-24.9459,1.5457,-14.8243,-28.1147,,,,,,,,,
0.8961,-15.0878,-24.3162,0.8961,-10.4029,-22.9999,0.8989,-11.3909,-25.5222,1.5961,-14.8413,-31.5821,,,,,,,,,
0.9493,-16.7986,-25.9592,0.9465,-10.8637,-22.1945,0.9493,-12.4618,-24.0674,1.5961,-15.1635,-29.0229,,,,,,,,,
0.9997,-17.5261,-25.2936,0.9969,-11.3611,-22.1011,0.9997,-12.8591,-23.9454,1.6969,-15.1166,-28.0549,,,,,,,,,
1.0501,-17.2192,-27.4492,1.0473,-11.6179,-22.8955,1.0501,-13.6814,-26.3546,1.7445,-14.9479,-31.694,,,,,,,,,
1.1005,-17.1753,-27.967,1.1005,-11.9432,-23.3784,1.1005,-13.7533,-28.1595,1.7949,-14.9663,-35.0239,,,,,,,,,
1.1509,-16.9835,-27.37,1.1509,-12.2444,-24.7466,1.1509,-14.6925,-27.8437,1.8453,-15.0622,-34.2887,,,,,,,,,
1.2041,-17.5527,-34.8806,1.2013,-12.7169,-27.7534,1.2041,-15.38,-26.734,1.9461,-14.9562,-41.4556,,,,,,,,,
1.2517,-16.6755,-29.4901,1.2517,-12.5531,-27.8875,1.2545,-16.2785,-26.9711,2.0469,-14.5729,-42.9288,,,,,,,,,
,,,1.3021,-13.3876,-31.2686,1.3049,-16.6612,-28.7759,2.1449,-14.3635,-40.0184,,,,,,,,,
,,,,,,1.3553,-15.8826,-29.7045,2.2457,-14.4368,-40.8581,,,,,,,,,
,,,,,,1.4057,-16.055,-30.5483,2.3465,-14.5248,-40.2744,,,,,,,,,
,,,,,,1.4561,-16.7365,-31.1203,2.4473,-15.1488,-41.0215,,,,,,,,,
,,,,,,1.5065,-17.0197,-28.4825,2.5453,-15.9198,-39.7442,,,,,,,,,
,,,,,,1.5569,-17.3812,-29.8074,2.6461,-16.1236,-34.769,,,,,,,,,
,,,,,,1.6073,-17.3502,-33.7791,2.7497,-16.5851,-39.651,,,,,,,,,
