one,one_BS,one_PC,two,two_BS,two_PC,three,three_BS,three_PC,four,four_BS,four_PC,five,five_BS,five_PC,six,six_BS,six_PC,seven,seven_BS,seven_PC,eight,eight_BS,eight_PC,nine ,nine_BS,nine_PC
0.0813,-9.119,-9.7312,0.0813,-9.525,-9.4875,0.0841,-9.283,-9.4091,0.0757,-9.3117,-9.0173,0.0869,-9.9509,-9.704,0.0953,-9.4071,-9.9411,0.0953,-10.4813,-10.1422,0.0925,-15.6093,-15.4216,0.0925,-13.6048,-13.3038
0.1317,-9.4031,-10.6958,0.1317,-9.3372,-9.559,0.1345,-9.349,-9.613,0.1261,-8.8495,-8.8088,0.1373,-10.4145,-9.8725,0.1457,-9.5684,-10.5282,0.1457,-11.8154,-11.1298,0.1425,-17.6769,-17.1089,0.1425,-13.4675,-13.0584
0.1821,-8.8889,-10.9027,0.1821,-9.0854,-9.5774,0.1849,-8.8089,-9.4212,0.1765,-9.0396,-8.7655,0.1877,-10.7319,-9.9599,0.1961,-9.9905,-10.8373,0.1961,-14.5022,-12.9112,0.1935,-21.7487,-19.2661,0.1935,-13.2871,-12.7505
0.2325,-9.1159,-11.9405,0.2325,-8.5249,-9.4661,0.2353,-8.1486,-9.07,0.2269,-8.7111,-8.4241,0.2381,-10.5308,-9.3968,0.2437,-10.0482,-10.7955,0.2465,-17.5074,-13.8013,0.2405,-28.889,-22.1009,0.2405,-12.8079,-12.6022
0.2829,-8.5264,-13.2524,0.2857,-8.0481,-9.7533,0.2885,-8.0734,-9.1344,0.2773,-8.2392,-7.9439,0.2885,-10.7746,-9.0029,0.2969,-10.5705,-10.5311,0.2969,-22.7312,-15.2407,0.2945,-29.9654,-24.3198,0.2945,-12.438,-12.1771
0.3333,-8.5779,-15.3035,0.3361,-7.9613,-10.3849,0.3389,-7.6451,-9.2161,0.3277,-8.1673,-7.9374,0.3389,-10.7537,-8.2278,0.3473,-11.1059,-10.2686,0.3473,-30.7065,-16.5338,0.3415,-24.9746,-24.8963,0.3445,-12.1026,-12.1148
0.3837,-8.4621,-17.4116,0.3837,-7.148,-10.6039,0.3865,-7.1696,-9.3153,0.3781,-7.487,-7.3791,0.3893,-11.3635,-7.9347,0.3977,-12.272,-10.0839,0.3977,-25.297,-17.8128,0.3925,-23.6748,-23.8049,0.3925,-11.972,-12.4248
0.4369,-8.0582,-19.6445,0.4369,-6.9328,-11.7866,0.4397,-6.3504,-9.2106,0.4285,-7.4829,-7.6633,0.4425,-11.9823,-7.8525,0.4509,-13.8348,-10.0496,0.4481,-21.4214,-18.7694,0.4425,-24.6228,-22.3385,0.4425,-11.5451,-12.0545
0.4873,-8.157,-20.9389,0.4873,-6.2307,-12.7819,0.4901,-6.3602,-9.9719,0.4789,-7.2131,-7.6847,0.4929,-12.7245,-7.4856,0.4985,-15.6239,-9.7943,0.4985,-20.004,-18.7922,0.4925,-28.4068,-22.1583,0.4925,-11.2803,-12.4781
0.5377,-8.051,-20.989,0.5377,-6.3014,-14.558,0.5405,-6.3102,-11.2229,0.5293,-6.906,-7.8789,0.5433,-13.5663,-7.6855,0.5517,-17.4391,-9.8956,0.5517,-20.9384,-18.3379,0.5435,-30.253,-22.1121,0.5435,-11.1681,-13.3503
0.5881,-8.9934,-21.823,0.5881,-6.152,-17.0392,0.5909,-6.5917,-13.4008,0.5797,-7.0039,-9.4032,0.5937,-13.7706,-7.8193,0.6021,-20.0949,-10.1784,0.6021,-23.41,-17.7756,0.5965,-29.3023,-22.9633,0.5965,-11.5724,-14.9844
0.6385,-9.9304,-22.7857,0.6413,-7.0346,-19.8964,0.6413,-7.3447,-17.1922,0.6329,-7.5243,-11.8945,0.6441,-14.4667,-8.9093,0.6497,-22.9563,-10.4828,0.6525,-25.4199,-17.2338,0.6445,-28.7777,-23.1769,0.6465,-12.1133,-17.8353
0.6917,-12.3225,-25.5711,0.6917,-8.0131,-21.3243,0.6945,-8.1247,-22.3333,0.6833,-7.9048,-16.1135,0.6973,-14.7812,-10.6026,0.7029,-24.1566,-11.2803,0.7029,-26.8729,-16.5045,0.6975,-29.0693,-22.5305,0.6975,-12.7558,-21.3009
0.7449,-14.1586,-24.3119,0.7449,-8.7357,-20.9129,0.7477,-9.6246,-23.9602,0.7337,-8.5276,-19.0032,0.7477,-15.3777,-13.5823,0.7561,-23.6089,-12.0284,0.7561,-26.9582,-15.8975,0.7475,-29.4058,-22.1713,0.7475,-12.9489,-22.6518
0.7953,-14.4853,-22.1627,0.7953,-9.2378,-20.9915,0.7953,-9.4603,-23.4036,0.7869,-9.3386,-17.2818,0.7981,-15.4375,-17.3754,0.8065,-22.7236,-13.7287,0.8065,-25.3345,-14.0098,0.7985,-29.595,-21.2867,0.7985,-13.5628,-22.1546
0.8457,-15.1458,-22.5263,0.8457,-9.9078,-22.2933,0.8485,-10.2868,-24.9459,0.8373,-9.885,-16.3065,0.8485,-15.4813,-20.4551,0.8569,-22.4018,-16.1908,0.8569,-25.9156,-13.7028,0.8485,-31.3554,-20.995,0.8485,-13.9021,-21.9789
0.8961,-15.0878,-24.3162,0.8961,-10.4029,-22.9999,0.8989,-11.3909,-25.5222,0.8877,-10.1542,-16.8539,0.8989,-15.4825,-19.5114,0.9073,-22.5062,-18.5744,0.9073,-25.6303,-12.3969,0.8985,-33.947,-20.0063,0.8985,-14.4045,-23.0732
0.9493,-16.7986,-25.9592,0.9465,-10.8637,-22.1945,0.9493,-12.4618,-24.0674,0.9381,-10.4705,-19.3058,0.9493,-15.8348,-18.3097,0.9577,-22.0202,-18.9961,0.9577,-26.1418,-11.3372,0.9495,-37.3565,-19.3657,0.9495,-15.0875,-25.3189
0.9997,-17.5261,-25.2936,0.9969,-11.3611,-22.1011,0.9997,-12.8591,-23.9454,0.9885,-11.1425,-20.3486,1.0025,-16.2679,-18.8326,1.0081,-21.9614,-18.3294,1.0081,-27.289,-10.6299,0.9995,-37.7022,-19.058,0.9995,-15.1519,-26.9022
1.0501,-17.2192,-27.4492,1.0473,-11.6179,-22.8955,1.0501,-13.6814,-26.3546,1.0417,-11.6347,-19.1296,1.0529,-16.6452,-20.8425,1.0585,-22.1401,-17.0998,1.0585,-27.7639,-10.9208,1.0505,-33.1786,-18.1419,1.0505,-15.4967,-27.8953
1.1005,-17.1753,-27.967,1.1005,-11.9432,-23.3784,1.1005,-13.7533,-28.1595,1.0921,-11.9241,-18.9366,1.1033,-17.3876,-23.147,1.1089,-22.4719,-17.322,1.1089,-26.4186,-11.2131,1.1005,-31.6584,-18.2571,1.1005,-16.0133,-29.007
1.1509,-16.9835,-27.37,1.1509,-12.2444,-24.7466,1.1509,-14.6925,-27.8437,1.1425,-12.162,-20.3685,1.1537,-18.5571,-22.177,1.1621,-22.7264,-20.4211,1.1621,-25.4179,-11.9483,1.1535,-31.5891,-18.3128,1.1535,-16.8421,-28.5399
1.2041,-17.5527,-34.8806,1.2013,-12.7169,-27.7534,1.2041,-15.38,-26.734,1.1929,-12.9891,-21.6751,1.2069,-19.2757,-20.6232,1.2125,-22.2962,-20.5173,1.2125,-27.3722,-13.8489,1.2045,-32.3732,-18.1536,1.2045,-17.2854,-26.2738
1.2517,-16.6755,-29.4901,1.2517,-12.5531,-27.8875,1.2545,-16.2785,-26.9711,1.2433,-13.2285,-20.7071,1.2545,-19.9455,-21.6145,1.2629,-22.0841,-17.3386,1.2629,-31.0268,-16.4446,1.2515,-32.8777,-17.5505,1.2515,-17.8466,-26.0362
,,,1.3021,-13.3876,-31.2686,1.3049,-16.6612,-28.7759,1.2937,-13.2779,-21.1879,1.3077,-20.6814,-24.2537,1.3133,-21.9196,-16.0399,1.3133,-31.4194,-19.7222,1.3025,-33.5309,-16.8875,1.3025,-18.4975,-28.2533
,,,,,,1.3553,-15.8826,-29.7045,1.3441,-13.7291,-25.6446,1.3581,-20.681,-24.0693,1.3637,-20.1963,-17.1066,1.3637,-29.6656,-18.9602,1.3525,-35.0697,-16.2231,1.3525,-19.0858,-30.544
,,,,,,1.4057,-16.055,-30.5483,1.3945,-13.4912,-29.0614,1.4085,-21.1651,-24.2741,1.4141,-20.4305,-22.9087,1.4141,-26.9845,-18.3841,1.4025,-37.0784,-15.2183,1.4025,-19.4859,-28.9403
,,,,,,1.4561,-16.7365,-31.1203,1.4477,-14.1987,-29.1208,1.4561,-21.0779,-24.507,1.4673,-20.2666,-26.6623,1.4141,-27.5463,-18.3043,1.4535,-35.8614,-15.5596,1.4535,-19.9252,-30.2106
,,,,,,1.5065,-17.0197,-28.4825,1.4981,-14.5447,-28.2238,1.5569,-21.0948,-25.4828,1.5121,-20.3448,-22.3514,1.4645,-25.5309,-19.4439,1.5035,-32.6719,-16.2944,1.5035,-20.362,-32.1197
,,,,,,1.5569,-17.3812,-29.8074,1.5457,-14.8243,-28.1147,1.6577,-21.7152,-27.7706,1.5653,-20.8151,-23.6447,1.5121,-26.1576,-24.4837,1.5515,-31.266,-18.0309,1.5515,-20.2096,-29.5173
,,,,,,1.6073,-17.3502,-33.7791,1.5961,-14.8413,-31.5821,1.7585,-23.2239,-28.5034,1.6157,-21.2662,-29.6189,1.5653,-27.6208,-25.0904,1.6015,-32.0033,-19.8411,1.6015,-20.6358,-32.253
,,,,,,1.6549,-17.5139,-30.7742,1.5961,-15.1635,-29.0229,1.8565,-25.7347,-34.5897,1.6661,-21.2423,-28.8055,1.6157,-29.0663,-19.8753,1.6525,-34.2677,-20.3773,1.6525,-20.4289,-34.8669
,,,,,,1.7585,-17.1786,-30.6027,1.6969,-15.1166,-28.0549,,,,1.7165,-20.4831,-29.0699,1.6661,-30.5728,-17.9986,1.7025,-37.3357,-21.4124,1.7025,-20.4055,-32.2797
,,,,,,1.8565,-17.034,-39.8069,1.7445,-14.9479,-31.694,,,,1.7641,-20.8046,-26.7756,1.7165,-29.6946,-18.8528,1.7525,-37.9062,-24.6469,1.7525,-20.1529,-34.2853
,,,,,,1.9573,-17.1796,-41.163,1.7949,-14.9663,-35.0239,,,,1.8145,-21.4149,-30.4384,1.7641,-28.8199,-22.144,1.8005,-37.0553,-28.3926,1.8005,-20.1282,-32.0985
,,,,,,2.0581,-17.5592,-41.7215,1.8453,-15.0622,-34.2887,,,,1.9153,-22.3375,-28.3244,1.8145,-28.7778,-23.8925,1.8505,-37.4328,-26.208,1.8505,-19.9741,-42.4182
,,,,,,2.1589,-18.0672,-41.8806,1.9461,-14.9562,-41.4556,,,,1.9657,-23.7525,-28.7635,1.8649,-29.0034,-23.1314,1.9015,-38.263,-25.2669,1.9015,-19.5521,-42.6174
,,,,,,2.2569,-18.9631,-41.9366,2.0469,-14.5729,-42.9288,,,,2.0161,-25.5942,-32.7507,1.9153,-30.1098,-27.0305,1.9515,-38.6308,-27.489,1.9515,-19.4968,-42.7755
,,,,,,2.3577,-19.5069,-41.7589,2.1449,-14.3635,-40.0184,,,,2.0665,-26.3849,-33.0199,1.9657,-31.5163,-29.845,1.9995,-38.5396,-32.3142,1.9995,-19.1384,-42.2958
,,,,,,2.4557,-20.2521,-41.541,2.2457,-14.4368,-40.8581,,,,2.1141,-27.0795,-32.2565,2.0161,-31.4682,-27.4705,2.0495,-38.5259,-29.9989,2.0495,-19.2875,-42.8941
,,,,,,,,,2.3465,-14.5248,-40.2744,,,,,,,,,,2.1005,-38.1741,-25.8671,2.1005,-19.316,-42.5901
